STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,01-01-2000,,,,,,,0,"P,,0",0,"P,,0",,,,,,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,02-01-2000,,,,,0.45,",,0,2400",0,"P,,0",0,"P,,0",70,",,0",36,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,03-01-2000,,,,,2.72,",,0,2400",0,"P,,0",0,"P,,0",60,",,0",36,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,04-01-2000,,,,,0,"T,,0,2400",0,"T,,0",0,"T,,0",36,",,0",24,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,05-01-2000,,,,,,,,,0,"P,,0",30,",,0",24,",,0",,,,,,,1,",,0",,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,06-01-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",46,",,0",28,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,07-01-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",41,",,0",28,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,08-01-2000,,,,,0,",,0,2400",0,"P,,0",0,"P,,0",42,",,0",30,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,09-01-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",47,",,0",30,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,10-01-2000,,,,,0,"T,,0,2400",0,"P,,0",0,"P,,0",55,",,0",30,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,11-01-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",45,",,0",29,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,12-01-2000,,,,,0.1,",,0,2400",0,"P,,0",0,"P,,0",58,",,0",33,",,0",,,,,,,,,,,,,,
USC00127125,"1 WSW PRINCETON, IN US",38.35178,-87.59257,137.2,13-01-2000,,,,,0,"P,,0,2400",0,"P,,0",0,"P,,0",36,",,0",20,",,0",,,,,,,,,,,,,,
